[26/03/2015 - 20:40:48] - AdmCmd: O admin Aleister_Crowley ajustou a cadeia de Jhonatan_Killeer para +40 minutos, Motivo: DB usando heli
[26/03/2015 - 20:42:11] - AdmCmd: O admin asas_urubu prendeu Lactea_Volt por 0 minutos, Motivo: AP - Prox Cumpre.
[26/03/2015 - 21:13:52] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Jhonatan_Killeer para +1 minutos, Motivo: Ajuste 
[26/03/2015 - 21:19:24] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Jhonatan_Killeer para +0 minutos, Motivo: Ajuste
[26/03/2015 - 21:41:23] - AdmCmd: O admin asas_urubu prendeu Puft_PuftHenrique por 0 minutos, Motivo: AP - Bom Jogo
[26/03/2015 - 22:52:16] - AdmCmd: O admin asas_urubu prendeu HarD_x1 por 0 minutos, Motivo: Ap - Cumpriu.
[26/03/2015 - 23:05:21] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Jhonatan_Killeer para +5 minutos, Motivo: INV. HQ sem gov
[26/03/2015 - 23:05:30] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Hyan_Cruz para +5 minutos, Motivo: INV. HQ sem gov
[26/03/2015 - 23:05:43] - AdmCmd: O admin Johny_Staff ajustou a cadeia de HarD_x1 para +0 minutos, Motivo: ajuste 
[26/03/2015 - 23:06:47] - AdmCmd: O admin Johny_Staff ajustou a cadeia de HarD_x1 para +0 minutos, Motivo: ajuste
[27/03/2015 - 19:24:13] - AdmCmd: O admin asas_urubu ajustou a cadeia de Dark_BR para +15 minutos, Motivo: Ofenças.
[27/03/2015 - 19:24:32] - AdmCmd: O admin asas_urubu prendeu Dark_BR por 15 minutos, Motivo: Sem Ofenças
[27/03/2015 - 19:27:12] - AdmCmd: O admin asas_urubu prendeu Lactea_ShiFt por 0 minutos, Motivo: Cops Pediram - Foi errado!
[27/03/2015 - 20:08:42] - AdmCmd: O admin asas_urubu prendeu Matador_DNovinho por 0 minutos, Motivo: AP - DB FAIL
[27/03/2015 - 20:35:27] - AdmCmd: O admin asas_urubu prendeu Pantera_ShiFt por 0 minutos, Motivo: .
[27/03/2015 - 21:05:25] - AdmCmd: O admin asas_urubu prendeu DreZerT_ShiFt por 0 minutos, Motivo: AP - Bom jogo
[27/03/2015 - 21:29:46] - AdmCmd: O admin asas_urubu prendeu Pantera_ShiFt por 0 minutos, Motivo: AP - Bom Jogo
[27/03/2015 - 21:55:42] - AdmCmd: O admin Saymon_Felipe prendeu Cidadao_DeBem por 0 minutos, Motivo: Bom jogo player.
[27/03/2015 - 21:59:53] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Jhonatan_Killeer para +5 minutos, Motivo: GOV INDV
[27/03/2015 - 22:12:08] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Mito_killer para +5 minutos, Motivo: Matando sem Contrat
[27/03/2015 - 22:12:36] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Mito_killer para +0 minutos, Motivo: Ajuste
[27/03/2015 - 22:12:46] - AdmCmd: O admin Saymon_Felipe prendeu Mito_killer por 0 minutos, Motivo: Removendo.
[27/03/2015 - 22:17:33] - AdmCmd: O admin Saymon_Felipe prendeu Mr_Myguel por 0 minutos, Motivo: AP - Bom jogo
[27/03/2015 - 22:23:36] - AdmCmd: O admin Saymon_Felipe prendeu gilmar_cp por 0 minutos, Motivo: AP - ADM
[27/03/2015 - 22:54:16] - AdmCmd: O admin gilmar_cp prendeu Cidadao_DeBem por 6 minutos, Motivo: Ajuste
[27/03/2015 - 23:17:14] - AdmCmd: O admin asas_urubu prendeu Cidadao_DeBem por 0 minutos, Motivo: Vamos ao Evento -- AP
[27/03/2015 - 23:27:02] - AdmCmd: O admin gilmar_cp ajustou a cadeia de gilmar_cp para +0 minutos, Motivo: buguei rsrs
[27/03/2015 - 23:29:22] - AdmCmd: O admin gilmar_cp ajustou a cadeia de gilmar_cp para +0 minutos, Motivo: .
[27/03/2015 - 23:51:19] - AdmCmd: O admin Johny_Staff ajustou a cadeia de DragoN_LorD para +5 minutos, Motivo: An indv
[27/03/2015 - 23:52:00] - AdmCmd: O admin asas_urubu prendeu DragoN_LorD por 0 minutos, Motivo: Preso Evento.
[27/03/2015 - 23:54:40] - AdmCmd: O admin asas_urubu ajustou a cadeia de Mateus_Bullock para +15 minutos, Motivo: Gov Indevido
